demand_electricity,pv,import,export_pv
-5.324473223427049,0.0,5.324473223427049,0.0
-4.377139890097169,0.0,4.377139890097169,0.0
-3.6274732234232943,0.0,3.6274732234232943,0.0
-3.130139890094142,0.0,3.130139890094142,0.0
-2.8668065567653684,0.0,2.8668065567653684,0.0
-1.764473223425739,0.0,1.764473223425739,0.0
-1.6928065567626618,0.0,1.6928065567626618,0.0
-1.5578065567606245,0.0,1.5578065567606245,0.0
-1.6534732234322291,0.0,1.6534732234322291,0.0
-1.6021398900920758,0.0,1.6021398900920758,0.0
-1.8371398900926579,0.0,1.8371398900926579,0.0
-2.373139890092716,0.0,2.373139890092716,0.0
-2.2584732234281546,0.22807590575,2.0303973176781547,0.0
-3.536473223433859,2.59078431325,0.945688910183859,0.0
-2.7634732234218973,2.7634732234218973,0.0,3.5096655348281027
-4.2871398900970235,2.2591393159999997,2.0280005740970237,0.0
-6.2488065567631566,6.2488065567631566,0.0,4.632665987486844
-5.047473223425186,5.047473223425186,0.0,3.370525551074815
-4.839473223426467,1.817348484,3.0221247394264665,0.0
-2.8681398900989734,0.43231489175000004,2.4358249983489735,0.0
-2.458139890088205,0.0,2.458139890088205,0.0
-4.052139890092803,0.0,4.052139890092803,0.0
-4.711806556766533,0.0,4.711806556766533,0.0
-4.110473223423469,0.0,4.110473223423469,0.0
-4.61180655676435,0.0,4.61180655676435,0.0
-3.747806556762953,0.0,3.747806556762953,0.0
-3.5124732234289695,0.0,3.5124732234289695,0.0
-3.2694732234303956,0.0,3.2694732234303956,0.0
-2.450139890090213,0.0,2.450139890090213,0.0
-2.1638065567603917,0.0,2.1638065567603917,0.0
-1.7278065567625163,0.0,1.7278065567625163,0.0
-1.6044732234295225,0.0,1.6044732234295225,0.0
-1.591473223430512,0.0,1.591473223430512,0.0
-1.623139890092716,0.0,1.623139890092716,0.0
-1.6688065567577723,0.0,1.6688065567577723,0.0
-2.2721398900939676,0.0,2.2721398900939676,0.0
-2.3061398900972563,0.9777041784999999,1.3284357115972565,0.0
-2.7638065567589365,2.14817196475,0.6156345920089366,0.0
-2.6758065567628364,1.2480061335000001,1.4278004232628363,0.0
-2.548806556762429,1.07546175625,1.473344800512429,0.0
-5.165473223427398,5.165473223427398,0.0,4.506447144822602
-5.753473223427136,5.753473223427136,0.0,2.5205614335728637
-5.755139890094142,2.499034748,3.256105142094142,0.0
-4.1388065567625745,0.5983216767499999,3.5404848800125746,0.0
-5.258473223428155,0.0,5.258473223428155,0.0
-4.1608065567597805,0.0,4.1608065567597805,0.0
-5.726473223425273,0.0,5.726473223425273,0.0
-5.469139890090446,0.0,5.469139890090446,0.0
-3.8184732234367402,0.0,3.8184732234367402,0.0
-3.342806556760479,0.0,3.342806556760479,0.0
-3.160139890092978,0.0,3.160139890092978,0.0
-3.031139890095801,0.0,3.031139890095801,0.0
-2.675139890096034,0.0,2.675139890096034,0.0
-1.8848065567581216,0.0,1.8848065567581216,0.0
-1.5841398900956847,0.0,1.5841398900956847,0.0
-1.3858065567619633,0.0,1.3858065567619633,0.0
-1.4918065567580925,0.0,1.4918065567580925,0.0
-1.5494732234292314,0.0,1.5494732234292314,0.0
-1.7254732234287076,0.0,1.7254732234287076,0.0
-2.959806556755211,0.0,2.959806556755211,0.0
-3.6171398900987697,0.23902816,3.3781117300987695,0.0
-3.0691398900962668,2.5652684820000005,0.5038714080962663,0.0
-4.643473223426554,1.12728667275,3.516186550676554,0.0
-5.963473223429901,1.4818007627499998,4.481672460679901,0.0
-6.138139890092134,6.138139890092134,0.0,3.214442698907865
-4.188139890095044,4.188139890095044,0.0,3.8407567006549552
-2.748139890099992,2.33265576075,0.41548412934999224,0.0
-1.8218065567562007,0.25371276,1.5680937967562008,0.0
-2.1701398900986533,0.0,2.1701398900986533,0.0
-2.9054732234253606,0.0,2.9054732234253606,0.0
-4.16813989009097,0.0,4.16813989009097,0.0
-5.143806556763593,0.0,5.143806556763593,0.0
-5.477806556758878,0.0,5.477806556758878,0.0
-3.4768065567623125,0.0,3.4768065567623125,0.0
-3.5938065567679587,0.0,3.5938065567679587,0.0
-2.9108065567561425,0.0,2.9108065567561425,0.0
-2.4481398900934437,0.0,2.4481398900934437,0.0
-1.700139890101127,0.0,1.700139890101127,0.0
-1.616139890087652,0.0,1.616139890087652,0.0
-1.5588065567608282,0.0,1.5588065567608282,0.0
-1.657473223433044,0.0,1.657473223433044,0.0
-1.5601398900871573,0.0,1.5601398900871573,0.0
-1.489806556764961,0.0,1.489806556764961,0.0
-2.2788065567583544,0.0,2.2788065567583544,0.0
-3.7361398900939093,0.24963617700000001,3.486503713093909,0.0
-4.597806556768774,2.6036099845000003,1.9941965722687733,0.0
-3.86080655675687,1.2375254464999998,2.6232811102568703,0.0
-3.007806556761352,1.877690171,1.130116385761352,0.0
-5.540139890093997,5.540139890093997,0.0,4.103196826906004
