demand_heat,heat_pump
-3.964,3.964
-8.673,8.673
-0.964,0.964
-1.927,1.927
-0.964,0.964
0.0,0.0
0.0,0.0
-26.927,26.927
-32.818,32.818
-23.818,23.818
-21.818,21.818
-23.818,23.818
-12.818,12.818
-19.673,19.673
-28.782,28.782
-21.709,21.709
-20.0,20.0
-26.6,26.6
-22.927,22.927
-24.673,24.673
-11.927,11.927
-34.273,34.273
-34.273,34.273
-16.636,16.636
-4.891,4.891
-3.855,3.855
-3.855,3.855
0.0,0.0
0.0,0.0
-1.0,1.0
0.0,0.0
-26.964,26.964
-35.782,35.782
-30.709,30.709
-25.782,25.782
-26.818,26.818
-22.709,22.709
-22.818,22.818
-13.855,13.855
-22.709,22.709
-24.745,24.745
-16.782,16.782
-14.927,14.927
-22.564,22.564
-21.709,21.709
-16.818,16.818
-21.564,21.564
-21.782,21.782
-6.818,6.818
-3.855,3.855
-1.0,1.0
-0.964,0.964
-1.964,1.964
0.0,0.0
0.0,0.0
-25.927,25.927
-30.745,30.745
-39.309,39.309
-17.855,17.855
-18.673,18.673
-24.782,24.782
-32.454,32.454
-22.855,22.855
-20.564,20.564
-21.855,21.855
-18.855,18.855
-12.891,12.891
-25.891,25.891
-23.309,23.309
-22.454,22.454
-15.855,15.855
-12.782,12.782
-4.855,4.855
-4.855,4.855
-2.927,2.927
-3.891,3.891
-3.855,3.855
-3.855,3.855
-1.964,1.964
-20.964,20.964
-23.891,23.891
-27.673,27.673
-20.782,20.782
-9.927,9.927
-19.636,19.636
-21.818,21.818
-19.673,19.673
-33.345,33.345
-23.6,23.6
-22.855,22.855
-21.818,21.818
-22.564,22.564
-16.745,16.745
-27.709,27.709
-30.345,30.345
-18.782,18.782
-7.818,7.818
-6.818,6.818
-1.964,1.964
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-29.964,29.964
-34.636,34.636
-23.818,23.818
-25.673,25.673
-16.782,16.782
-23.745,23.745
-30.564,30.564
-29.345,29.345
-18.745,18.745
-26.491,26.491
-29.527,29.527
-28.491,28.491
-17.6,17.6
-20.6,20.6
-32.127,32.127
-14.855,14.855
-11.818,11.818
-1.927,1.927
-0.964,0.964
-3.855,3.855
-1.927,1.927
0.0,0.0
-3.0,3.0
0.0,0.0
-26.927,26.927
-26.782,26.782
-30.782,30.782
-20.709,20.709
-16.673,16.673
-17.818,17.818
-16.636,16.636
-11.855,11.855
-19.673,19.673
-20.818,20.818
-14.891,14.891
-16.891,16.891
-20.745,20.745
-13.782,13.782
-16.745,16.745
-34.345,34.345
-12.782,12.782
-3.0,3.0
-5.782,5.782
-3.855,3.855
0.0,0.0
-1.0,1.0
0.0,0.0
0.0,0.0
-23.891,23.891
-21.818,21.818
-16.673,16.673
-28.709,28.709
-23.709,23.709
-6.964,6.964
-8.818,8.818
-27.818,27.818
-24.527,24.527
-25.709,25.709
-13.782,13.782
-13.855,13.855
-14.818,14.818
-46.873,46.873
-19.6,19.6
-21.564,21.564
-18.818,18.818
-6.818,6.818
-4.818,4.818
-1.927,1.927
0.0,0.0
0.0,0.0
-1.0,1.0
0.0,0.0
-24.891,24.891
-19.891,19.891
-11.855,11.855
-22.527,22.527
-17.745,17.745
-14.782,14.782
-22.927,22.927
-27.491,27.491
-28.673,28.673
-23.855,23.855
-15.855,15.855
-11.891,11.891
-19.709,19.709
-19.6,19.6
-31.382,31.382
-27.454,27.454
-22.818,22.818
-4.855,4.855
-4.818,4.818
-0.964,0.964
0.0,0.0
0.0,0.0
-1.0,1.0
-1.0,1.0
-25.891,25.891
-29.709,29.709
-25.636,25.636
-24.745,24.745
-15.891,15.891
-23.673,23.673
-15.709,15.709
-11.927,11.927
-19.636,19.636
-14.745,14.745
-22.891,22.891
-15.927,15.927
-11.855,11.855
-17.709,17.709
-41.018,41.018
-19.709,19.709
-8.891,8.891
-4.855,4.855
-13.491,13.491
0.0,0.0
0.0,0.0
-0.964,0.964
-0.964,0.964
-0.964,0.964
-22.964,22.964
-24.927,24.927
-15.673,15.673
-11.745,11.745
-19.454,19.454
-16.782,16.782
-16.782,16.782
-24.673,24.673
-28.454,28.454
-25.818,25.818
-16.782,16.782
-15.782,15.782
-17.709,17.709
-13.782,13.782
-30.527,30.527
-19.527,19.527
-17.745,17.745
-9.745,9.745
-8.709,8.709
-2.927,2.927
0.0,0.0
-0.964,0.964
-0.964,0.964
-1.964,1.964
-23.964,23.964
-24.891,24.891
-14.818,14.818
-15.636,15.636
-25.818,25.818
-17.818,17.818
-26.564,26.564
-35.382,35.382
-13.782,13.782
-14.818,14.818
-14.891,14.891
-7.0,7.0
-24.564,24.564
-29.855,29.855
-20.636,20.636
-13.855,13.855
-15.782,15.782
-2.891,2.891
-1.964,1.964
-3.891,3.891
0.0,0.0
-1.0,1.0
0.0,0.0
0.0,0.0
-28.927,28.927
-24.891,24.891
-9.927,9.927
-18.709,18.709
-12.855,12.855
-43.054,43.054
-19.709,19.709
-28.382,28.382
-37.418,37.418
-26.782,26.782
-18.709,18.709
-19.527,19.527
-27.636,27.636
-17.745,17.745
-18.636,18.636
-12.855,12.855
-11.855,11.855
-4.891,4.891
-2.927,2.927
-3.891,3.891
-3.891,3.891
-1.927,1.927
0.0,0.0
-0.964,0.964
-29.891,29.891
-27.818,27.818
-21.818,21.818
-19.636,19.636
-15.855,15.855
-22.673,22.673
-25.673,25.673
-11.891,11.891
-21.745,21.745
-12.782,12.782
-14.782,14.782
-13.855,13.855
-26.709,26.709
-33.673,33.673
-19.818,19.818
-29.491,29.491
-21.527,21.527
-2.927,2.927
-4.818,4.818
-0.964,0.964
-0.964,0.964
-3.0,3.0
0.0,0.0
-2.927,2.927
-21.0,21.0
-30.745,30.745
-25.745,25.745
-21.491,21.491
-7.891,7.891
-15.745,15.745
-15.818,15.818
-13.782,13.782
-19.673,19.673
-12.927,12.927
-16.927,16.927
-10.855,10.855
-15.855,15.855
-20.673,20.673
-47.909,47.909
-16.6,16.6
-22.382,22.382
-6.818,6.818
-2.927,2.927
-0.964,0.964
-2.0,2.0
-1.0,1.0
-1.0,1.0
-2.927,2.927
-26.964,26.964
-25.891,25.891
-26.564,26.564
-19.709,19.709
-19.891,19.891
-15.891,15.891
-15.891,15.891
-29.709,29.709
-15.745,15.745
-16.891,16.891
-13.891,13.891
-18.818,18.818
-19.709,19.709
-22.564,22.564
-33.273,33.273
-20.6,20.6
-14.855,14.855
-3.964,3.964
-6.782,6.782
-3.855,3.855
-6.782,6.782
0.0,0.0
-1.0,1.0
0.0,0.0
-11.0,11.0
-31.745,31.745
-17.818,17.818
-20.6,20.6
-18.782,18.782
-9.927,9.927
-11.927,11.927
-15.636,15.636
-23.527,23.527
-21.782,21.782
-22.782,22.782
-20.673,20.673
-21.782,21.782
-29.418,29.418
-45.727,45.727
-26.564,26.564
-13.855,13.855
-2.927,2.927
-6.782,6.782
0.0,0.0
-0.964,0.964
0.0,0.0
-1.927,1.927
0.0,0.0
-31.0,31.0
-26.673,26.673
-19.891,19.891
-9.927,9.927
-19.855,19.855
-12.745,12.745
-11.855,11.855
-26.782,26.782
-21.527,21.527
-24.818,24.818
-15.673,15.673
-10.818,10.818
-22.564,22.564
-9.891,9.891
-21.673,21.673
-22.527,22.527
-19.782,19.782
-2.927,2.927
-5.818,5.818
-2.927,2.927
-1.0,1.0
-2.0,2.0
0.0,0.0
0.0,0.0
-24.0,24.0
-22.964,22.964
-22.745,22.745
-27.745,27.745
-28.782,28.782
-24.636,24.636
-21.673,21.673
-19.709,19.709
-29.382,29.382
-24.927,24.927
-19.891,19.891
-18.782,18.782
-23.709,23.709
-26.636,26.636
-23.527,23.527
-30.527,30.527
-18.745,18.745
-6.782,6.782
-3.891,3.891
-2.927,2.927
-3.964,3.964
0.0,0.0
-1.0,1.0
0.0,0.0
-23.964,23.964
-30.927,30.927
-19.891,19.891
-18.673,18.673
-26.745,26.745
-24.745,24.745
-27.709,27.709
-28.491,28.491
-19.745,19.745
-29.527,29.527
-19.818,19.818
-17.745,17.745
-12.782,12.782
-31.6,31.6
-29.454,29.454
-19.782,19.782
-10.818,10.818
-8.709,8.709
-6.745,6.745
-1.927,1.927
-0.964,0.964
-0.964,0.964
0.0,0.0
-0.964,0.964
-12.0,12.0
-33.782,33.782
-26.709,26.709
-29.382,29.382
-11.891,11.891
-14.782,14.782
-28.745,28.745
-16.855,16.855
-49.164,49.164
-31.745,31.745
-16.891,16.891
-13.927,13.927
-22.745,22.745
-19.855,19.855
-33.236,33.236
-12.855,12.855
-15.636,15.636
-3.855,3.855
-4.818,4.818
-2.927,2.927
-3.964,3.964
0.0,0.0
-1.964,1.964
0.0,0.0
-21.0,21.0
-26.818,26.818
-24.855,24.855
-24.6,24.6
-20.564,20.564
-28.491,28.491
-16.782,16.782
-15.855,15.855
-21.636,21.636
-26.782,26.782
-22.855,22.855
-14.745,14.745
-21.6,21.6
-28.855,28.855
-24.636,24.636
-26.382,26.382
-13.855,13.855
-1.964,1.964
-6.782,6.782
-0.964,0.964
-3.0,3.0
-1.0,1.0
-1.0,1.0
0.0,0.0
-24.927,24.927
-24.782,24.782
-16.927,16.927
-23.636,23.636
-10.891,10.891
-16.855,16.855
-25.382,25.382
-13.927,13.927
-20.636,20.636
-22.782,22.782
-15.745,15.745
-11.891,11.891
-28.891,28.891
-27.527,27.527
-49.836,49.836
-25.454,25.454
-11.927,11.927
-3.891,3.891
-13.527,13.527
-3.855,3.855
-1.0,1.0
-0.964,0.964
0.0,0.0
0.0,0.0
-16.0,16.0
-32.636,32.636
-21.891,21.891
-27.527,27.527
-14.745,14.745
-12.782,12.782
-23.709,23.709
-18.855,18.855
-35.527,35.527
-18.891,18.891
-9.891,9.891
-12.855,12.855
-28.673,28.673
-28.527,28.527
-20.782,20.782
-25.418,25.418
-24.382,24.382
-5.927,5.927
-10.6,10.6
-3.855,3.855
0.0,0.0
0.0,0.0
-0.964,0.964
0.0,0.0
-24.964,24.964
-30.636,30.636
-34.673,34.673
-24.527,24.527
-13.818,13.818
-18.709,18.709
-16.855,16.855
-30.564,30.564
-11.782,11.782
-17.818,17.818
-14.745,14.745
-13.891,13.891
-19.927,19.927
-30.782,30.782
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-0.043,0.043
-5.985,5.985
-8.891,8.891
-21.673,21.673
-21.6,21.6
-26.454,26.454
-21.418,21.418
-23.636,23.636
-14.6,14.6
-1.964,1.964
-4.818,4.818
-1.927,1.927
0.0,0.0
0.0,0.0
0.0,0.0
-1.964,1.964
-24.964,24.964
-22.891,22.891
-16.855,16.855
