demand_heat,district_heating_industry
-60.14,60.14
-75.537,75.537
-56.769,56.769
-26.14,26.14
-15.512,15.512
-2.0,2.0
-3.628,3.628
-2.628,2.628
-3.0,3.0
0.0,0.0
-47.256,47.256
-100.397,100.397
-102.793,102.793
-72.512,72.512
-86.653,86.653
-78.769,78.769
-101.421,101.421
-72.512,72.512
-78.281,78.281
-66.512,66.512
-65.512,65.512
-49.884,49.884
-58.884,58.884
-69.397,69.397
-73.281,73.281
-50.512,50.512
-59.769,59.769
-20.512,20.512
-15.512,15.512
-8.256,8.256
-8.884,8.884
-11.512,11.512
-10.512,10.512
-2.628,2.628
-43.628,43.628
-86.884,86.884
-84.653,84.653
-74.769,74.769
-69.256,69.256
-98.281,98.281
-73.14,73.14
-82.653,82.653
-95.306,95.306
-81.909,81.909
-56.512,56.512
-62.14,62.14
-75.909,75.909
-67.397,67.397
-65.025,65.025
-83.793,83.793
-61.769,61.769
-23.14,23.14
-16.14,16.14
-5.628,5.628
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-38.628,38.628
-100.025,100.025
-81.14,81.14
-76.653,76.653
-75.769,75.769
-80.397,80.397
-81.537,81.537
-79.281,79.281
-65.397,65.397
-78.165,78.165
-73.165,73.165
-69.537,69.537
-48.884,48.884
-67.653,67.653
-81.934,81.934
-53.512,53.512
-45.628,45.628
-19.256,19.256
-6.628,6.628
-13.512,13.512
-5.256,5.256
-1.0,1.0
0.0,0.0
0.0,0.0
-35.256,35.256
-99.769,99.769
-77.769,77.769
-78.025,78.025
-81.653,81.653
-64.14,64.14
-76.281,76.281
-63.512,63.512
-70.653,70.653
-50.14,50.14
-49.884,49.884
-52.884,52.884
-54.884,54.884
-57.769,57.769
-54.397,54.397
-76.165,76.165
-53.769,53.769
-9.0,9.0
-23.769,23.769
-11.512,11.512
0.0,0.0
-2.0,2.0
0.0,0.0
0.0,0.0
-49.884,49.884
-93.14,93.14
-84.653,84.653
-83.025,83.025
-80.025,80.025
-67.628,67.628
-68.14,68.14
-73.14,73.14
-70.025,70.025
-71.025,71.025
-62.769,62.769
-54.512,54.512
-62.14,62.14
-72.165,72.165
-66.769,66.769
-57.769,57.769
-48.14,48.14
-22.14,22.14
-19.14,19.14
-7.256,7.256
-1.0,1.0
0.0,0.0
0.0,0.0
-1.0,1.0
-42.884,42.884
-89.884,89.884
-70.512,70.512
-69.769,69.769
-78.397,78.397
-82.769,82.769
-61.256,61.256
-88.537,88.537
-73.653,73.653
-54.512,54.512
-60.512,60.512
-54.884,54.884
-60.512,60.512
-66.397,66.397
-65.537,65.537
-80.537,80.537
-51.14,51.14
-14.512,14.512
-14.14,14.14
-5.628,5.628
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-48.884,48.884
-100.025,100.025
-81.281,81.281
-76.397,76.397
-65.884,65.884
-76.653,76.653
-72.025,72.025
-57.256,57.256
-65.025,65.025
-55.397,55.397
-47.884,47.884
-42.256,42.256
-49.512,49.512
-64.769,64.769
-78.421,78.421
-58.025,58.025
-39.884,39.884
-16.512,16.512
-37.537,37.537
-1.0,1.0
