demand_electricity,pv,battery,import,export_pv
-0.0,0.0,0.0,1.5987141532008755,0.0
-0.0,0.0,0.0,1.1709361243499208,0.0
-0.0,0.0,0.0,1.147789999998131,0.0
-0.0,0.0,0.0,2.002250000003187,0.0
-0.0,0.0,0.0,1.9733999999970548,0.0
-0.0,0.0,0.0,2.0433600000001024,0.0
-0.0,0.0,0.0,2.248000000001048,0.0
-0.0,0.0,0.0,1.587419999999256,0.0
-0.0,0.0,0.0,0.9036000000018247,0.0
-0.0,0.0,0.0,0.9479399999990711,0.0
-0.0,0.0,0.0,0.6251699999991979,0.0
-0.0,0.0,0.0,0.4709900000008929,0.0
-0.0,0.0,0.0,0.21504000000073575,0.0
-0.0,0.0,0.0,0.18023999999975787,0.0
-0.0,0.0,0.0,0.19655999999944468,0.0
-0.0,0.0,0.0,0.22807999999960885,0.0
-0.0,0.0,0.0,0.4068800000008196,0.0
-0.0,0.0,0.0,0.5546000000002096,0.0
-0.0,0.0,0.0,0.6186177123002933,0.0
-0.0,0.0,0.0,0.18679240527382177,0.0
-0.0,0.0,0.0,0.4104448854012435,0.0
-0.0,0.0,0.0,0.8705178215993888,0.0
-0.0,0.0,-9.277822097928597,-0.0,0.0
-0.0,0.0,5.592954159746652,-0.0,0.0
-0.0,0.0,1.9220817395755125,1.1190279863240518,0.0
-0.0,0.0,0.0,2.963579419570851,0.0
-0.0,0.0,0.0,1.8261450000041806,0.0
-0.0,0.0,0.0,1.904699999996228,0.0
-0.0,0.0,0.0,2.832624999999098,0.0
-0.0,0.0,0.0,2.8943600000039442,0.0
-0.0,0.0,0.0,2.5235600000003617,0.0
-0.0,0.0,0.0,1.9523999999975787,0.0
-0.0,0.0,0.0,1.1141800000018702,0.0
-0.0,0.0,0.0,0.9585600000002887,0.0
-0.0,0.0,0.0,0.6779999999984284,0.0
-0.0,0.0,0.0,0.4550000000010187,0.0
-0.0,0.0,0.0,0.2942499999995198,0.0
-0.0,0.0,0.0,0.3074499999990076,0.0
-0.0,0.0,0.0,0.24046000000176718,0.0
-0.0,0.0,0.0,0.2968799999993644,0.0
-0.0,0.0,0.0,0.3806400000001304,0.0
-0.0,0.0,0.0,0.5099400000010792,0.0
-0.0,0.0,0.0,0.7488354554984866,0.0
-0.0,0.0,0.0,0.3227871149738941,0.0
-0.0,0.0,-4.120755078640036,-0.0,0.0
-0.0,0.0,3.3378116136984306,0.14932987452620167,0.0
-0.0,0.0,-5.090616456108475,-0.0,0.0
-0.0,0.0,-1.2752576995429326,-0.0,0.0
-0.0,0.0,5.156358066077642,0.6332332494363206,0.0
-0.0,0.0,0.0,1.4278333135518335,0.0
-0.0,0.0,0.0,1.101809999997058,0.0
-0.0,0.0,0.0,1.5878000000011525,0.0
-0.0,0.0,0.0,1.5887999999991735,0.0
-0.0,0.0,0.0,1.9961400000002323,0.0
-0.0,0.0,0.0,1.6938799999999903,0.0
-0.0,0.0,0.0,1.3236800000013318,0.0
-0.0,0.0,0.0,1.1979200000013226,0.0
-0.0,0.0,0.0,0.8999999999999999,0.0
-0.0,0.0,0.0,0.667379999998957,0.0
-0.0,0.0,0.0,0.3280199999987963,0.0
-0.0,0.0,0.0,0.1992000000010012,0.0
-0.0,0.0,0.0,0.1822399999992922,0.0
-0.0,0.0,0.0,0.16552000000025147,0.0
-0.0,0.0,0.0,0.2033999999995285,0.0
-0.0,0.0,0.0,0.412740000000922,0.0
-0.0,0.0,0.0,0.751960000001127,0.0
-0.0,0.0,0.0,0.780621543899936,0.0
-0.0,0.0,0.0,0.29260206872508027,0.0
-0.0,0.0,0.0,1.0263295008976694,0.0
-0.0,0.0,0.0,1.2616177337501409,0.0
-0.0,0.0,-12.179401977655283,-0.0,0.0
-0.0,0.0,-1.7104954563158674,-0.0,0.0
-0.0,0.0,9.616844266813638,-0.0,0.0
-0.0,0.0,1.6339726547029956,1.3956702301484212,0.0
-0.0,0.0,0.0,1.4697000000015397,0.0
-0.0,0.0,0.0,1.8629999999984286,0.0
-0.0,0.0,0.0,2.3392799999991984,0.0
-0.0,0.0,0.0,2.8298700000019017,0.0
-0.0,0.0,0.0,2.2106400000007125,0.0
-0.0,0.0,0.0,1.9340199999978358,0.0
-0.0,0.0,0.0,1.479659999998912,0.0
-0.0,0.0,0.0,1.0652000000030968,0.0
-0.0,0.0,0.0,0.9979199999985576,0.0
-0.0,0.0,0.0,0.6555999999996858,0.0
-0.0,0.0,0.0,0.7558200000019132,0.0
-0.0,0.0,0.0,0.44171999999831313,0.0
-0.0,0.0,0.0,0.3746800000008807,0.0
-0.0,0.0,0.0,0.4252199999995355,0.0
-0.0,0.0,0.0,0.4343999999997323,0.0
-0.0,0.0,0.0,1.1219400000009774,0.0
-0.0,0.0,0.0,0.9039674879982956,0.0
-0.0,0.0,0.0,0.18058268500243027,0.0
-0.0,0.0,0.0,1.152397616873472,0.0
